discount,conversion,source,total_pages_visited,visit_duration,country
no,no,direct,3,179.50673387388488,france
no,no,direct,6,356.9863763487074,germany
no,no,direct,3,181.38014307326574,uk
no,no,direct,6,368.17220330389125,uk
no,no,direct,7,408.9793342166334,germany
no,no,direct,1,61.15206484115575,germany
no,no,direct,4,238.129613422949,ireland
no,no,direct,7,425.0051469488012,ireland
no,no,direct,4,236.0511670550239,uk
no,no,direct,4,239.55167499665137,uk
no,no,direct,8,488.6917017295102,uk
no,no,direct,4,230.1817451445925,uk
no,no,direct,5,299.2021163293383,france
no,no,direct,4,241.8480135558544,france
no,no,direct,2,117.26621286409572,germany
no,no,direct,7,418.79188696454514,ireland
no,no,direct,3,180.17861589122504,uk
no,no,direct,1,59.280139006506644,france
no,no,direct,3,178.03954296899303,france
no,no,direct,8,477.06818296917805,ireland
no,no,direct,7,420.338807133924,germany
no,no,direct,5,301.85685550004644,ireland
no,no,direct,5,299.7819240896048,germany
no,no,direct,10,608.7364527763792,uk
no,no,direct,5,299.40988582055195,germany
no,no,direct,5,304.48299581642846,germany
no,no,direct,4,244.6468829096323,france
no,no,direct,4,245.4909790030322,uk
no,no,direct,3,180.2085208711645,uk
no,no,direct,2,120.12450518045249,ireland
no,no,direct,8,481.99704498118695,france
no,no,direct,7,425.7390277436605,france
no,no,direct,5,308.9626580833562,germany
no,no,direct,6,358.40878656235117,uk
no,no,direct,1,61.7074255391222,uk
no,no,direct,4,240.959680026167,germany
no,no,direct,5,295.4545342387669,uk
no,no,direct,2,117.31471152836153,germany
no,no,direct,3,183.1541083339799,uk
no,no,direct,2,122.6697315667063,uk
no,no,direct,2,121.99081571581705,ireland
no,no,direct,3,184.59606332465714,germany
no,no,direct,3,180.90507949669157,germany
no,no,direct,3,182.00630838171202,uk
no,no,direct,2,120.30429285883517,uk
no,no,direct,2,127.00409217286085,uk
no,no,direct,2,117.9253598272744,uk
no,no,direct,4,235.56512233529432,germany
no,no,direct,3,176.3070742888815,uk
no,no,direct,6,362.16705778754863,uk
no,no,direct,1,57.887129173008816,germany
no,no,direct,4,241.669030566558,uk
no,no,direct,6,366.4948997411989,germany
no,no,direct,2,122.95645288062993,france
no,no,direct,4,240.52562656145943,uk
no,no,direct,2,119.56031175849543,france
no,no,direct,2,121.1349746918988,germany
no,no,direct,5,298.55953550601396,france
no,no,direct,7,422.4798188269255,germany
no,no,direct,3,181.24509510225948,germany
no,no,direct,5,296.5395588282702,germany
no,no,direct,2,120.63452730765933,uk
no,no,direct,3,180.83237410491108,france
no,no,direct,3,186.52043742817654,ireland
no,no,direct,6,364.011964221052,germany
no,no,direct,4,243.70900826632152,germany
no,no,direct,6,361.376165560946,germany
no,no,direct,6,364.9017124410454,uk
no,no,direct,6,349.9176474646809,uk
no,no,direct,4,236.79330710200247,uk
no,no,direct,5,302.4021228267883,france
no,no,direct,5,304.3970198778512,uk
no,no,direct,5,302.60695725217425,germany
no,no,direct,1,60.81280458717546,uk
no,no,direct,4,242.35373590529164,germany
no,no,direct,2,123.69378241310739,germany
no,no,direct,3,173.84848412244386,germany
no,no,direct,4,239.5825302056657,uk
no,no,direct,3,183.30842529104177,france
no,no,direct,2,119.58067639797702,uk
no,no,direct,3,175.83294544391646,germany
no,no,direct,5,305.1086988723594,germany
no,no,direct,3,176.93408556249096,france
no,no,direct,6,370.0003554921251,ireland
no,no,direct,2,120.8905122593556,uk
no,no,direct,4,236.39750788773964,uk
no,no,direct,9,537.1597777850887,germany
no,no,direct,7,425.50927977328877,france
no,no,direct,6,364.05325343014806,ireland
no,no,direct,2,118.66503212071167,uk
no,no,direct,2,122.70058750686722,germany
no,no,direct,5,295.8311493241113,uk
no,no,direct,3,179.55498681747832,ireland
no,no,direct,5,301.849288871335,ireland
no,no,direct,3,176.9392658753517,uk
no,no,direct,2,120.96097236925729,uk
no,no,direct,5,288.2362315776841,germany
no,no,direct,2,119.95603303024198,germany
no,no,direct,4,239.6618908164544,germany
no,no,direct,4,242.2075394835981,germany
no,no,direct,4,243.28400513948068,ireland
no,no,direct,3,180.93867526969797,uk
no,no,direct,4,238.08172735997695,germany
no,no,direct,8,472.64167822183856,germany
no,no,direct,4,239.92973891283157,uk
no,no,direct,7,417.6215967453943,uk
no,no,direct,7,434.433595110513,germany
no,no,direct,4,243.03842816681222,germany
no,no,direct,3,179.69948747964034,germany
no,no,direct,2,120.39424603367036,germany
no,no,direct,7,417.2054407033551,france
no,no,direct,3,183.43605315793485,germany
no,no,direct,1,59.74142673435817,france
no,no,direct,7,417.6676490517332,uk
no,no,direct,5,303.7916439991285,germany
no,no,direct,2,120.53344517495972,uk
no,no,direct,4,239.22787841811697,uk
no,no,direct,8,485.135181275957,germany
no,no,direct,4,240.98451057867555,uk
no,no,direct,3,178.5493382722636,uk
no,no,direct,5,303.2723429965514,uk
no,no,direct,3,175.45490619119232,germany
no,no,direct,3,180.80359072150927,france
no,no,direct,2,122.76647113113893,uk
